company_id,invoice_id
C269,INV603
C269,INV1458
C269,INV1164
C269,INV339
C269,INV797
C269,INV532
C269,INV357
C269,INV748
C269,INV1199
C269,INV692
C269,INV979
C269,INV1357
C269,INV1211
C269,INV1258
C269,INV112
C269,INV1026
C269,INV1147
C269,INV1105
C269,INV1034
C269,INV687
C269,INV71
C269,INV705
C269,INV933
C269,INV1136
C269,INV1116
C269,INV119
C269,INV1344
C269,INV1047
C269,INV981
C269,INV383
C269,INV754
C269,INV697
C269,INV585
C269,INV1369
C269,INV6
C269,INV104
C269,INV1343
C269,INV970
C269,INV820
C269,INV1345
C269,INV510
C269,INV935
C269,INV235
C269,INV925
C269,INV850
C269,INV424
C269,INV615
C269,INV869
C269,INV277
C269,INV669
C269,INV440
C269,INV1179
C269,INV1310
C269,INV1374
C269,INV1278
C269,INV314
C269,INV1294
C269,INV762
C269,INV1115
C269,INV483
C269,INV855
C269,INV837
C269,INV772
C269,INV1472
C269,INV1185
C269,INV1036
C269,INV960
C269,INV1130
C269,INV621
C269,INV618
C269,INV3
C269,INV642
C269,INV947
C269,INV926
C269,INV36
C269,INV843
C269,INV1121
C269,INV52
C269,INV1192
C269,INV1128
C269,INV1459
C269,INV552
C269,INV134
C269,INV1156
C269,INV495
C269,INV144
C269,INV812
C269,INV256
C269,INV1198
C269,INV1486
C269,INV452
C269,INV1120
C269,INV1046
C269,INV11
C269,INV1106
C269,INV1162
C269,INV1288
C269,INV1360
C269,INV655
C269,INV93
C193,INV871
C193,INV862
C193,INV342
C193,INV338
C193,INV221
C193,INV503
C193,INV171
C193,INV515
C193,INV1463
C193,INV825
C193,INV524
C193,INV1268
C193,INV490
C193,INV1073
C193,INV689
C193,INV1264
C193,INV688
C193,INV1109
C193,INV1414
C193,INV538
C193,INV794
C193,INV763
C193,INV699
C193,INV567
C193,INV393
C193,INV878
C193,INV241
C193,INV67
C193,INV1279
C193,INV999
C193,INV399
C193,INV43
C193,INV682
C193,INV441
C193,INV649
C193,INV1460
C193,INV323
C193,INV472
C193,INV561
C193,INV103
C193,INV620
C193,INV1028
C193,INV1012
C193,INV577
C193,INV1413
C193,INV1131
C193,INV584
C193,INV968
C193,INV654
C193,INV1088
C193,INV63
C193,INV1178
C193,INV283
C193,INV1112
C193,INV911
C193,INV747
C193,INV1042
C193,INV310
C193,INV906
C193,INV1173
C193,INV223
C193,INV932
C193,INV401
C193,INV419
C193,INV1314
C193,INV1002
C193,INV724
C193,INV787
C193,INV1365
C193,INV889
C193,INV1062
C193,INV1276
C193,INV318
C193,INV86
C193,INV1434
C193,INV1239
C193,INV844
C193,INV195
C193,INV51
C193,INV1253
C193,INV668
C193,INV923
C193,INV117
C193,INV229
C193,INV875
C193,INV142
C193,INV548
C193,INV1291
C193,INV463
C193,INV455
C193,INV353
C193,INV1003
C193,INV492
C193,INV605
C193,INV1316
C193,INV995
C193,INV1354
C193,INV1061
C193,INV1234
C193,INV1338
C193,INV346
C193,INV1133
C193,INV1270
C193,INV982
C193,INV892
C193,INV610
C193,INV543
C193,INV1048
C193,INV443
C193,INV1176
C193,INV831
C193,INV1462
C193,INV370
C193,INV1175
C193,INV572
C193,INV1032
C193,INV160
C193,INV1319
C193,INV1430
C193,INV1070
C269,INV48
C269,INV1170
C269,INV651
C269,INV35
C269,INV840
C269,INV159
C269,INV910
C269,INV360
C269,INV149
C269,INV22
C269,INV1420
C269,INV954
C269,INV645
C269,INV809
C269,INV107
C269,INV806
C269,INV226
C269,INV267
C269,INV750
C269,INV445
C246,INV921
C214,INV89
C23,INV1119
C0,INV1104
C0,INV922
C1,INV47
C1,INV1167
C420,INV158
C486,INV460
C409,INV823
C52,INV274
C305,INV295
C0,INV293
C490,INV782
C378,INV220
C229,INV956
C228,INV630
C2,INV365
C2,INV324
C173,INV1328
C306,INV120
C2,INV139
C485,INV1029
C283,INV321
C43,INV154
C143,INV453
C305,INV1087
C174,INV594
C30,INV462
C492,INV904
C4,INV1402
C4,INV465
C382,INV42
C305,INV28
C4,INV1327
C265,INV701
C232,INV382
C410,INV768
C283,INV1090
C4,INV1389
C4,INV663
C4,INV559
C4,INV966
C4,INV864
C259,INV344
C187,INV380
C363,INV1007
C5,INV525
C427,INV1296
C161,INV1400
C5,INV1359
C5,INV972
C5,INV126
C493,INV1149
C6,INV438
C6,INV457
C6,INV1305
C6,INV836
C115,INV1230
C252,INV1301
C285,INV239
C6,INV983
C1,INV792
C6,INV961
C6,INV955
C238,INV163
C235,INV1404
C177,INV1254
C418,INV442
C7,INV262
C7,INV518
C7,INV37
C7,INV278
C7,INV1347
C7,INV1226
C90,INV848
C7,INV716
C84,INV928
C4,INV713
C259,INV745
C295,INV1479
C8,INV473
C8,INV60
C361,INV1065
C8,INV343
C8,INV1030
C107,INV427
C8,INV742
C8,INV709
C12,INV712
C422,INV1450
C206,INV1262
C8,INV565
C142,INV1126
C279,INV237
C298,INV1141
C427,INV1350
C142,INV232
C314,INV449
C9,INV1050
C35,INV826
C399,INV600
C9,INV656
C332,INV111
C65,INV851
C9,INV508
C340,INV587
C315,INV1236
C369,INV888
C111,INV937
C274,INV733
C9,INV384
C359,INV216
C9,INV596
C348,INV96
C13,INV57
C10,INV116
C10,INV1299
C10,INV102
C473,INV129
C271,INV895
C10,INV563
C407,INV1469
C253,INV785
C10,INV118
C74,INV715
C10,INV1263
C367,INV870
C10,INV1009
C157,INV900
C10,INV1454
C10,INV842
C11,INV1427
C11,INV1168
C11,INV1348
C358,INV167
C11,INV368
C315,INV270
C11,INV1317
C11,INV269
C258,INV1205
C233,INV1208
C11,INV1284
C12,INV1417
C12,INV1018
C12,INV959
C12,INV1293
C12,INV1382
C139,INV740
C12,INV178
C13,INV1155
C198,INV703
C172,INV1161
C352,INV87
C165,INV695
C364,INV145
C14,INV180
C14,INV706
C14,INV32
C14,INV271
C14,INV44
C14,INV1361
C310,INV1089
C247,INV934
C14,INV813
C491,INV1306
C390,INV666
C340,INV309
C77,INV950
C435,INV626
C165,INV1439
C15,INV599
C15,INV865
C288,INV1096
C15,INV1342
C155,INV766
C14,INV41
C15,INV417
C388,INV1200
C43,INV568
C152,INV725
C15,INV376
C494,INV936
C179,INV1266
C15,INV254
C15,INV694
C15,INV1451
C15,INV1229
C48,INV723
C65,INV1124
C248,INV553
C16,INV300
C16,INV1118
C16,INV196
C16,INV576
C16,INV629
C357,INV214
C16,INV4
C16,INV905
C258,INV996
C163,INV793
C94,INV931
C16,INV1318
C16,INV1207
C16,INV275
C236,INV307
C16,INV1079
C16,INV779
C123,INV260
C16,INV1051
C189,INV1390
C17,INV77
C317,INV1432
C362,INV45
C17,INV1475
C17,INV19
C17,INV301
C421,INV1217
C240,INV177
C17,INV602
C187,INV153
C274,INV385
C17,INV536
C17,INV251
C3,INV306
C18,INV202
C81,INV556
C18,INV1232
C18,INV1146
C166,INV53
C407,INV317
C18,INV919
C18,INV1449
C179,INV1321
C18,INV470
C18,INV993
C18,INV1399
C18,INV555
C70,INV0
C18,INV125
C18,INV366
C18,INV914
C35,INV770
C18,INV625
C35,INV137
C201,INV1320
C290,INV1195
C398,INV903
C398,INV1289
C198,INV90
